Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MLT-9032,1,Buzzer-9032,
"C1, C10, C11, C12, C13, C14, C17, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C39, C41, C47, C8",0603,26,100n,
"C15, C16, C3, C34, C40, C42, C5",0603,7,10u,
"C18, C36, C37, C44, C45, C49, C50, C52, C53, C54, C55, C9",1206,12,10u,
"C38, C46",CP_EIA-6032-28_Kemet-C,2,C_Polarized,
C4,0603,1,20p,
C43,0603,1,10n,
"C51, C56, C57, C58",1206,4,100u 6.3V,
"D1, D2, D3",D_SMF,3,DSS34,
"D10, D11, D19",D_SMF,3,SMF10A,
"D13, D14, D6, D7, D8, D9",0603,6,LED,
D22,D_SMF,1,SMF5V0A,
D4,D_SMF,1,SMF3.3A,
D5,D_SMA,1,SMAJ28A,
"F1, F2",1206,2,30A,
"F3, F4",1206,2,1A,
FB1,1206,1,FerriteBead,
FB2,0603,1,FerriteBead,
"H1, H2, H3",MountingHole_3.2mm_M3_ISO14580_Pad,3,MountingHole_Pad,
"J1, J4",PinHeader_2x02_P2.54mm_Vertical_SMD,2,Conn_02x02_Odd_Even,
J2,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02_MountingPin,
J3,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04_MountingPin,
"J5, J6",PinHeader_2x02_P2.54mm_Vertical,2,Conn_02x02_Odd_Even,
L1,L_Bourns-SRN4018,1,4.7u,
L2,L_Sunlord_SWPA252012S,1,4.7u,
Q1,SOT-23,1,AO3400A,
"R1, R2, R22, R23, R24, R26, R27, R3, R37, R4, R5",0603,11,33r,
"R10, R11, R7, R8",0603,4,2.2k,
"R12, R15, R9",2512,3,2mr,
"R13, R14, R30, R31",0603,4,1k,
"R16, R19",0603,2,90k 25ppm,
"R17, R20",0603,2,10k 25ppm,
"R18, R21",0603,2,68r,
"R25, R36, R38",0603,3,120r,
"R28, R40, R42, R6",0603,4,10k,
R39,0603,1,118k,
R41,0603,1,53.6k,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Plated_Hole_D3.0mm,6,TestPoint,
"U1, U3",BxxxxS-1W,2,ISO_DC,
U10,SOT-23-5,1,RS3236,
"U11, U9",SOT-23-6,2,RY8411,
"U2, U4, U5",TSSOP-8_4.4x3mm_P0.65mm,3,INA240A1PW,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,GS8332-SR,
U7,LQFP-64_10x10mm_P0.5mm,1,STM32F334R8Tx,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,SIT1042/3,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,CSTCE8M,
